review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
11	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	FLT_up	orange_uncertain_no_direct_support	Nucleotide metabolism can reflect DNA repair or proliferation, but thymus proliferation evidence points downward.	FLT_up has mixed support and cannot be called direction-aligned.	medium	Nucleotide metabolism is too broad and sits between DNA-repair activation and suppressed thymic cycling.	Horie2019;Luxton2020
12	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	FLT_up	green_prior_aligned	Spaceflight immune studies support altered innate LPS/TLR-like responses.	FLT_up is consistent with activation/remodeling of innate TLR signaling.	medium	MYD88-independent TLR4 signaling fits reported innate immune and LPS-response changes.	Baqai2009;Winer2025;Han2023
13	R-MMU-1430728_METABOLISM	FLT_up	orange_uncertain_no_direct_support	Metabolism is a broad spaceflight feature, but this term lacks pathway-specific thymus direction.	FLT_up is too generic to align confidently.	low	Generic metabolism cannot distinguish mitochondrial, lipid, nucleotide, or cell-composition effects.	Afshinnekoo2020;DaSilveira2020
14	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	FLT_up	blue_plausible_complementary	Proteostasis/organelle trafficking is plausible in spaceflight stress, but not directly thymus-directional.	FLT_up is plausible but indirect.	low	COPI traffic may track secretory and ER-Golgi stress in remodeled thymic cells.	DaSilveira2020;Afshinnekoo2020
15	R-MMU-195258_RHO_GTPASE_EFFECTORS	FLT_up	blue_plausible_complementary	Rho-family cytoskeletal signaling is gravity-sensitive, but thymus direction evidence is weak.	FLT_up is mechanistically plausible, not directly established.	medium	Rho effectors could reflect altered thymocyte migration or stromal mechanics.	Akiyama2020;DaSilveira2020
16	R-MMU-9012999_RHO_GTPASE_CYCLE	FLT_down	blue_plausible_complementary	Rho-family cytoskeletal signaling is gravity-sensitive, but direct thymus direction evidence is weak.	FLT_down is plausible for impaired cytoskeletal cycling or motility; direction remains indirect.	medium	Rho-cycle downshift can complement altered-gravity effects on immune-cell adhesion, migration, and stromal mechanics.	Akiyama2020;DaSilveira2020
17	R-MMU-109581_APOPTOSIS	FLT_down	orange_uncertain_no_direct_support	Thymic involution literature includes apoptosis/DNA-fragmentation evidence, while longer-duration murine RNA-seq emphasizes reduced proliferation without clear apoptosis enhancement.	FLT_down weakens apoptosis-alignment and is opposite apoptosis-driven involution reports.	medium	Apoptosis down is compatible with a proliferation-led atrophy model but not with classic apoptosis/DNA-fragmentation evidence.	Gridley2013;Muramatsu2025;Horie2019
18	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	FLT_up	red_conflict_or_artifact	Thymus spaceflight data emphasize reduced cell-cycle/checkpoint proliferation programs.	FLT_up conflicts with the dominant direct thymus direction.	high	Checkpoint activation could occur with DNA damage, but this Reactome cell-cycle checkpoint term is more tied to suppressed cycling.	Horie2019;Gridley2013
19	R-MMU-8939211_ESR_MEDIATED_SIGNALING	FLT_down	orange_uncertain_no_direct_support	Stress-steroid/nuclear receptor biology is direct, but ESR-specific direction is not.	FLT_down lacks direct ESR-specific support in thymus spaceflight literature.	low	ESR-mediated signaling may be adjacent to endocrine stress responses, but the corrected down direction is not established.	Lebsack2010;Benjamin2016
20	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	FLT_up	red_conflict_or_artifact	Direct murine thymus spaceflight RNA-seq reports reduced G2/M and cell-cycle genes.	FLT_up conflicts with reported flight-side suppression of G2/M proliferation.	high	Mitotic G2/G2-M activation is opposite to reduced thymic proliferation.	Horie2019;Akiyama2020
21	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	FLT_up	red_conflict_or_artifact	Neuronal postsynaptic signaling is off-context for thymus pathway labeling.	FLT_up has no thymus-spaceflight directional support.	low	Neurotransmitter/postsynaptic term is likely a broad receptor artifact in this thymus review.	Akiyama2020
22	R-MMU-8957322_METABOLISM_OF_STEROIDS	FLT_up	green_prior_aligned	Murine thymus spaceflight data implicate glucocorticoid receptor metabolism and stress steroids.	FLT_up aligns with steroid/glucocorticoid stress remodeling.	medium	Steroid metabolism fits elevated glucocorticoids and thymic stress-response literature.	Lebsack2010;Benjamin2016;Horie2019
23	R-MMU-69242_S_PHASE	FLT_up	red_conflict_or_artifact	Direct thymus studies report reduced proliferation and cell-cycle genes.	FLT_up conflicts with expected suppressed S-phase entry in involuting thymus.	high	S-phase activation is inconsistent with spaceflight-induced thymic atrophy.	Horie2019;Okamura2024
24	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	FLT_up	orange_uncertain_no_direct_support	Spaceflight affects gene regulation, but generic transcription lacks pathway-specific direction.	FLT_up is broad and directionally ambiguous.	medium	Generic transcription can reflect many cell types and stress states, so support is nonspecific.	Afshinnekoo2020;Lebsack2010
25	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	FLT_down	orange_uncertain_no_direct_support	Transport changes occur in spaceflight omics, but SLC transport direction in thymus is not established.	FLT_down remains too indirect for a confident alignment.	low	SLC-mediated transport is a broad metabolic or cell-composition signal without direct thymus support.	Afshinnekoo2020
26	R-MMU-372790_SIGNALING_BY_GPCR	FLT_up	orange_uncertain_no_direct_support	GPCR signaling is broad and not directionally resolved in thymus spaceflight literature.	FLT_up has no direct pathway-family direction support.	low	Generic GPCR signaling could reflect many receptors and cell types.	Akiyama2020
27	R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	FLT_up	blue_plausible_complementary	TNF/NF-kB immune signaling is relevant to spaceflight immune stress, but reported directions are mixed.	FLT_up is plausible but not directly aligned.	medium	TNFR2/noncanonical NF-kB may reflect immune stress or survival signaling in remodeled thymus.	Gridley2009;Baqai2009;Winer2025
28	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	FLT_up	orange_uncertain_no_direct_support	Small-molecule transport is a broad metabolic signal with no thymus direction evidence.	FLT_up is nonspecific.	low	Transport of small molecules lacks direct thymus-spaceflight literature support.	Afshinnekoo2020
29	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	FLT_up	blue_plausible_complementary	Spaceflight multi-omics support metabolic remodeling, but amino-acid direction in thymus is indirect.	FLT_up is plausible but weakly supported.	low	Amino-acid metabolism may reflect stress metabolism or cell-composition shifts.	Afshinnekoo2020;DaSilveira2020
30	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	FLT_down	orange_uncertain_no_direct_support	Vitamin/cofactor metabolism is generic and not thymus-directional in prior literature.	FLT_down lacks direct support.	low	Cofactor metabolism is too broad to map confidently onto thymic flight biology.	Afshinnekoo2020
31	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	FLT_up	orange_uncertain_no_direct_support	Insulin secretion regulation is endocrine/pancreatic and not a thymus flight direction.	FLT_up is off-axis and unsupported.	low	This term is likely a generic signaling/metabolic association rather than thymic literature match.	Akiyama2020
32	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	FLT_down	blue_plausible_complementary	MAPK/RAF signaling participates in immune stress responses, but thymus direction is indirect.	FLT_down is plausible for suppressed immune or growth-factor signaling, though not directly thymus-proven.	medium	RAF-MAPK downshift can complement impaired immune activation and stress signaling under altered gravity.	Novoselova2015;DaSilveira2020
33	R-MMU-9932444_ATP_DEPENDENT_CHROMATIN_REMODELERS	FLT_down	blue_plausible_complementary	Epigenetic/gene-regulatory changes are a fundamental spaceflight feature.	FLT_down is plausible for reduced chromatin-remodeling demand in a less proliferative thymus; direction is indirect.	medium	ATP-dependent chromatin-remodeler suppression can accompany cell-cycle downshift or broader spaceflight epigenetic remodeling.	Afshinnekoo2020;DaSilveira2020
34	R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	FLT_down	red_conflict_or_artifact	Space radiation and astronaut omics support double-strand-break/DNA-damage responses.	FLT_down conflicts with a simple DNA-damage-response activation interpretation.	medium	The down direction may reflect fewer cycling thymocytes, but it is opposite the expected repair-response activation from radiation/DNA-fragmentation literature.	Luxton2020;Afshinnekoo2020;Gridley2013
35	R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	FLT_down	green_prior_aligned	Direct thymus literature supports reduced mitotic progression after spaceflight.	FLT_down aligns with the reported flight-side direction.	high	Metaphase/anaphase suppression matches reduced thymic proliferation.	Horie2019;Okamura2024
36	R-MMU-5357801_PROGRAMMED_CELL_DEATH	FLT_up	green_prior_aligned	Direct thymus spaceflight literature supports apoptosis and programmed cell death.	FLT_up aligns with thymic involution/apoptotic signaling.	high	Programmed cell death is strongly supported by thymic DNA fragmentation and unloading apoptosis data.	Gridley2013;Muramatsu2025
37	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	FLT_down	blue_plausible_complementary	Second-messenger signaling changes are plausible in immune stress and altered gravity, but not direction-specific.	FLT_down is plausible for reduced activation-state signaling, but direction is indirect.	medium	Calcium/cAMP-like second messengers can sit downstream of mechanosensory and immune receptor changes.	Novoselova2015;DaSilveira2020
38	R-MMU-168138_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	FLT_up	green_prior_aligned	Innate antiviral/TLR signaling is repeatedly implicated in spaceflight immune dysregulation.	FLT_up is consistent with innate TLR remodeling.	medium	TLR9 cascade fits antiviral and innate immune stress responses.	Baqai2009;Winer2025
39	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	FLT_up	orange_uncertain_no_direct_support	Adaptive immunity is directly affected, but prior direction often indicates suppressed thymopoiesis/T-cell activation.	FLT_up is mixed rather than clearly aligned.	medium	Broad adaptive-immune up-signal conflicts with suppression of thymic output while also reflecting immune remodeling.	Akiyama2020;Gridley2009;Benjamin2016
40	R-MMU-170834_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	FLT_up	blue_plausible_complementary	TGF-beta can connect ECM/stromal and immune remodeling, but thymus direction evidence is indirect.	FLT_up is plausible but not direct.	medium	TGF-beta receptor signaling may accompany thymic stromal remodeling under altered gravity.	Okamura2024;Akiyama2020
41	R-MMU-73886_CHROMOSOME_MAINTENANCE	FLT_up	orange_uncertain_no_direct_support	Chromosome maintenance overlaps DNA repair and cell cycle, whose prior directions differ.	FLT_up is mixed and not directly aligned.	medium	DNA-damage literature supports maintenance responses, but thymus cell-cycle genes are suppressed.	Horie2019;Luxton2020
42	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	FLT_down	green_prior_aligned	Spaceflight thymus and immune studies report altered interleukin/cytokine signaling and impaired immune activation.	FLT_down aligns with suppressed immune/T-cell cytokine signaling, although cytokine findings vary by context.	medium	Interleukin signaling down is consistent with immune suppression and thymic functional impairment after flight.	Gridley2013;Akiyama2020;Winer2025
43	R-MMU-9612973_AUTOPHAGY	FLT_down	blue_plausible_complementary	Mitochondrial/oxidative stress can alter autophagy, but direct thymus-spaceflight autophagy direction is lacking.	FLT_down is plausible as impaired stress-adaptation or turnover, not directly proven.	low	Autophagy suppression could accompany mitochondrial dysfunction, but the direction is not a direct prior thymus signal.	DaSilveira2020;Afshinnekoo2020
44	R-MMU-6791226_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	FLT_up	orange_uncertain_no_direct_support	rRNA processing is linked to growth/proliferation, but direct thymus literature emphasizes reduced proliferation.	FLT_up is directionally ambiguous and weakly supported.	medium	Nucleolar/rRNA processing could be stress or proliferation; prior thymus cell-cycle direction is mostly down.	Horie2019;DaSilveira2020
45	R-MMU-109582_HEMOSTASIS	FLT_up	green_prior_aligned	Spaceflight spleen/thymus reanalysis and mouse immune studies implicate platelet/hemostasis biology.	FLT_up aligns with reported platelet/hemostasis involvement.	medium	Hemostasis is consistent with platelet-related spaceflight signals.	Han2023;Gridley2003
46	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	FLT_down	orange_uncertain_no_direct_support	Lipoprotein metabolism is a spaceflight metabolic feature but not thymus-specific.	FLT_down has no direct thymus direction support.	low	Plasma lipoprotein remodeling is more liver/blood-context than thymic mechanism.	Afshinnekoo2020;DaSilveira2020
47	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	FLT_up	green_prior_aligned	Stress-response transcription is directly reported in spaceflown thymus and broader space-omics.	FLT_up aligns with flight-associated stress responses.	high	Cellular stress response is a strong match to thymus and multi-omics spaceflight literature.	Lebsack2010;Novoselova2015;Afshinnekoo2020
48	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	FLT_down	blue_plausible_complementary	Protein modification/proteostasis is plausible under flight stress, but direction is indirect.	FLT_down is plausible for reduced proteostasis or activation-state demand, but not direct.	low	Post-translational modification down may reflect reduced proliferation or altered immune-cell composition.	Afshinnekoo2020;DaSilveira2020
49	R-MMU-168256_IMMUNE_SYSTEM	FLT_up	blue_plausible_complementary	Immune dysregulation is direct, but the broad immune-system term has mixed direction.	FLT_up is plausible but not specifically direction-aligned.	medium	Broad immune-system activation may combine innate activation with suppressed thymopoiesis.	Akiyama2020;Winer2025;Han2023
50	R-MMU-983705_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	FLT_down	orange_uncertain_no_direct_support	B-cell biology is affected by spaceflight, but thymus BCR direction is weak and indirect.	FLT_down is not directly supported as a thymus pathway direction.	low	BCR signaling is not a primary thymic spaceflight mechanism in the direct studies.	Akiyama2020;Winer2025
51	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	FLT_down	blue_plausible_complementary	Thymocyte-stromal and lymphoid/non-lymphoid interactions are relevant to thymic function, but direction is indirect.	FLT_down is plausible for impaired thymic microenvironment crosstalk during involution.	medium	Reduced lymphoid/non-lymphoid interaction signaling can complement altered thymic epithelial-thymocyte organization.	Horie2019;Akiyama2020
52	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	FLT_down	blue_plausible_complementary	ECM interaction changes are plausible with thymic stromal remodeling, but direct direction data are limited.	FLT_down is plausible for disrupted matrix interaction programs, but weakly supported.	low	Non-integrin ECM interactions may mark stromal remodeling or cell-composition shifts rather than thymocyte-intrinsic biology.	Okamura2024;Akiyama2020
53	R-MMU-73887_DEATH_RECEPTOR_SIGNALING	FLT_down	orange_uncertain_no_direct_support	Death receptor/apoptosis signaling is supported in some thymus spaceflight and unloading contexts, but long-duration murine RNA-seq emphasizes reduced proliferation.	FLT_down does not align with apoptosis/death-receptor activation evidence.	medium	Death-receptor suppression may fit a non-apoptotic atrophy model, but it is opposite DNA-fragmentation and apoptosis-centered reports.	Gridley2013;Muramatsu2025;Horie2019
54	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	FLT_up	blue_plausible_complementary	Spaceflight increases viral-reactivation risk and alters IFN pathways, but thymus ISG direction is mixed.	FLT_up is plausible antiviral stress, not direct.	medium	IFN-stimulated antimicrobial mechanisms fit immune stress but direct thymus direction is uncertain.	Winer2025;Gridley2009
55	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	FLT_up	blue_plausible_complementary	Glycosylation can affect immune receptors/proteostasis, but thymus-spaceflight direction is indirect.	FLT_up is plausible but weak.	low	N-linked glycosylation may track secretory or immune-receptor remodeling.	DaSilveira2020;Afshinnekoo2020
56	R-MMU-76002_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	FLT_down	red_conflict_or_artifact	Platelet activation appears in mouse spaceflight immune/hematologic literature.	FLT_down conflicts with platelet activation/hemostasis enrichment and may reflect annotation or composition effects.	medium	Corrected platelet-activation suppression is opposite the prior platelet/hemostasis signal and is not a core thymocyte axis.	Han2023;Gridley2003
57	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_down	blue_plausible_complementary	Thymic epithelial/stromal organization is affected by spaceflight, but junction direction is indirect.	FLT_down is plausible for weakened epithelial or stromal junction organization.	medium	Cell-cell junction downshift can complement reported thymic epithelial mislocalization and microenvironment remodeling.	Horie2019;Okamura2024
58	R-MMU-8978868_FATTY_ACID_METABOLISM	FLT_down	blue_plausible_complementary	Space-omics support lipid/metabolic remodeling, but thymus fatty-acid direction is indirect.	FLT_down is plausible for mitochondrial/metabolic suppression under flight stress.	medium	Fatty-acid metabolism down can reflect mitochondrial dysfunction or changing immune-cell composition.	DaSilveira2020;Afshinnekoo2020
59	R-MMU-5688426_DEUBIQUITINATION	FLT_down	blue_plausible_complementary	Ubiquitin/proteasome and proteostasis pathways are plausible in stress and antigen processing.	FLT_down is plausible but not direct.	low	Deubiquitination down may reflect reduced protein-turnover demand in less proliferative thymic tissue.	Afshinnekoo2020;DaSilveira2020
60	R-MMU-983712_ION_CHANNEL_TRANSPORT	FLT_down	blue_plausible_complementary	Ion-channel and calcium signaling are plausible altered-gravity mechanisms, but thymus direction is absent.	FLT_down is plausible for reduced channel/activation signaling, but indirect.	low	Ion transport down may track mechanosensory or activation-state changes rather than a thymus-specific pathway.	Akiyama2020;DaSilveira2020
61	R-MMU-1474290_COLLAGEN_FORMATION	FLT_up	blue_plausible_complementary	ECM remodeling is plausible in thymic involution, but collagen direction is not directly shown.	FLT_up is compatible with stromal remodeling.	medium	Collagen formation may mark tissue-remodeling response in the involuting thymic microenvironment.	Okamura2024;Akiyama2020
62	R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	FLT_up	blue_plausible_complementary	Innate antimicrobial programs are spaceflight-relevant, but direct thymus peptide direction is weak.	FLT_up is plausible but indirect.	low	Antimicrobial peptides fit innate immune remodeling more than direct thymocyte biology.	Baqai2009;Winer2025
63	R-MMU-983169_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	FLT_down	blue_plausible_complementary	Antigen presentation is central to thymus and immune dysregulation, but flight direction is not direct.	FLT_down is plausible under immune suppression, but thymus-specific direction evidence is limited.	medium	Class I MHC processing down could reflect altered antigen presentation, thymocyte composition, or impaired immune activation.	Akiyama2020;Winer2025
64	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	FLT_up	orange_uncertain_no_direct_support	Vitamin/cofactor metabolism is generic and not thymus-directional in prior literature.	FLT_up lacks direct support.	low	Cofactor metabolism is too broad to map confidently onto thymic flight biology.	Afshinnekoo2020
65	R-MMU-201681_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	FLT_up	blue_plausible_complementary	WNT/TCF can regulate thymic epithelial biology, but spaceflight direction is indirect.	FLT_up is plausible developmental/stromal remodeling.	medium	TCF-dependent WNT signaling may fit epithelial remodeling, not a direct flight-direction result.	Akiyama2020;Okamura2024
66	R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	FLT_up	green_prior_aligned	Spaceflight literature supports DNA damage, telomere stress, and senescence-related responses.	FLT_up aligns with DNA-damage/telomere-stress senescence biology.	high	This pathway directly matches space radiation/telomere and DNA-damage response literature.	Luxton2020;Afshinnekoo2020
67	R-MMU-5617833_CILIUM_ASSEMBLY	FLT_up	blue_plausible_complementary	Primary cilia are mechanosensory, but direct thymus-spaceflight cilium evidence is weak.	FLT_up is plausible altered-gravity mechanosensing.	medium	Cilium assembly could be a complementary gravity-sensing response in stromal cells.	Akiyama2020;DaSilveira2020
68	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	FLT_down	blue_plausible_complementary	Thymopoiesis and thymic-developmental output decline after flight, but this pathway term is broad.	FLT_down is broadly consistent with reduced thymopoiesis/developmental programs.	low	The term cannot distinguish thymic epithelial, T-cell, stromal, or off-context developmental programs, so alignment remains complementary.	Akiyama2020;Benjamin2016
69	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	FLT_up	blue_plausible_complementary	Spaceflight alters innate myeloid/neutrophil function, but thymus degranulation direction is indirect.	FLT_up is plausible innate immune remodeling.	medium	Neutrophil degranulation may reflect innate infiltration or immune-composition change.	Akiyama2020;Winer2025
70	R-MMU-2172127_DAP12_INTERACTIONS	FLT_down	blue_plausible_complementary	DAP12 innate immune signaling is plausible under immune dysregulation, but not direct in thymus.	FLT_down is plausible for reduced NK/myeloid activation-state signaling, but indirect.	medium	DAP12 interactions can mark innate immune remodeling, with direction dependent on cell composition and activation state.	Winer2025;Han2023
71	R-MMU-162582_SIGNAL_TRANSDUCTION	FLT_down	orange_uncertain_no_direct_support	Signal transduction is generic and lacks direction-specific thymus evidence.	FLT_down is nonspecific.	low	Broad signaling cannot be mapped to a defined prior spaceflight pathway direction.	DaSilveira2020
72	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	FLT_down	orange_uncertain_no_direct_support	Endocrine/stress-hormone changes are relevant, but peptide-hormone metabolism direction is indirect.	FLT_down lacks direct support as a thymus flight direction.	low	Peptide hormone metabolism may reflect systemic stress rather than direct thymic mechanism.	Benjamin2016;Lebsack2010
73	R-MMU-1500931_CELL_CELL_COMMUNICATION	FLT_down	blue_plausible_complementary	Thymic stromal-thymocyte communication is relevant to involution, but direction evidence is indirect.	FLT_down is plausible for impaired microenvironment communication during thymic atrophy.	medium	Cell-cell communication down can capture altered thymic epithelial-thymocyte interactions.	Horie2019;Akiyama2020
74	R-MMU-1296071_POTASSIUM_CHANNELS	FLT_up	blue_plausible_complementary	Ion-channel remodeling is plausible under altered gravity, but potassium-channel direction is not direct.	FLT_up is plausible but weak.	low	Potassium channels may track activation or stress-state shifts rather than direct thymus evidence.	DaSilveira2020
75	R-MMU-2029485_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	FLT_down	blue_plausible_complementary	Innate phagocytic function changes are reported after spaceflight, but thymus direction is indirect.	FLT_down is plausible for impaired phagocytic/innate immune function.	medium	Phospholipid roles in phagocytosis down fit immune suppression, though not a direct thymus-spaceflight pathway.	Baqai2009;Winer2025
76	R-MMU-195721_SIGNALING_BY_WNT	FLT_down	blue_plausible_complementary	WNT signaling can support thymic epithelial/stromal biology, but flight direction is indirect.	FLT_down is plausible for reduced tissue-maintenance or developmental signaling during thymic involution.	medium	WNT suppression can complement reduced thymopoiesis and stromal remodeling, but direct pathway evidence is weak.	Akiyama2020;Okamura2024
77	R-MMU-422475_AXON_GUIDANCE	FLT_down	orange_uncertain_no_direct_support	Axon-guidance molecules can have immune roles, but this Reactome family is broad/off-context.	FLT_down lacks direct thymus-spaceflight direction support.	low	The pathway is not a well-supported thymic flight mechanism.	Akiyama2020
78	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	FLT_down	orange_uncertain_no_direct_support	G-alpha-i signaling is broad GPCR biology without direct thymus direction.	FLT_down is nonspecific.	low	This term could reflect many receptor families and cell types.	Akiyama2020
79	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	FLT_up	blue_plausible_complementary	Extracellular-matrix remodeling is plausible in thymic involution, but direction is indirect.	FLT_up is compatible with stromal remodeling.	medium	ECM organization can mark thymic structural remodeling under spaceflight stress.	Okamura2024;Akiyama2020
80	R-MMU-397014_MUSCLE_CONTRACTION	FLT_down	red_conflict_or_artifact	Muscle contraction is off-context for thymus pathway interpretation.	FLT_down still reads as non-thymic annotation rather than supported thymus-spaceflight biology.	high	Muscle contraction is not supported as a thymic spaceflight mechanism.	Akiyama2020
81	R-MMU-76005_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	FLT_down	red_conflict_or_artifact	Platelet activation/hemostasis signals are reported in mouse spaceflight immune datasets.	FLT_down conflicts with platelet calcium-response activation literature and may be composition-driven.	medium	Elevated platelet calcium-response suppression is opposite the platelet/hemostasis signal expected from prior reports.	Han2023;Gridley2003
82	R-MMU-392499_METABOLISM_OF_PROTEINS	FLT_down	orange_uncertain_no_direct_support	Protein metabolism is broad and directionally unresolved in thymus spaceflight literature.	FLT_down is nonspecific.	low	The pathway may combine proteostasis, translation, cell-cycle, and cell-composition effects.	Afshinnekoo2020;DaSilveira2020
83	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	FLT_down	red_conflict_or_artifact	Space radiation/DNA damage literature supports homologous repair responses.	FLT_down conflicts with a DNA-repair activation interpretation.	medium	Homology-directed repair down may reflect fewer cycling thymocytes, but it is opposite expected DNA-damage repair activation.	Luxton2020;Afshinnekoo2020
