review_row	term	observed_direction	reviewed_category	literature_alignment	direction_assessment	confidence	rationale	citations
18	R-MMU-1296071_POTASSIUM_CHANNELS	FLT_down	orange_uncertain_no_direct_support	Skin sensory and barrier cells use potassium channels, but no direct literature supports a flight-side decrease for this pathway.	FLT_down direction uncertain.	low	Potassium-channel reduction could reflect homeostatic remodeling, but the evidence is nonspecific.	Radstake2022
19	R-MMU-983712_ION_CHANNEL_TRANSPORT	FLT_up	blue_plausible_complementary	Ion transport is relevant to epidermal barrier and sensory physiology, but direct pathway direction is not reported.	FLT_up is plausible but indirect.	low	Ion-channel transport may accompany irritation, barrier repair, and fluid shifts, but evidence is nonspecific.	Radstake2022;Park2024
20	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	FLT_up	green_prior_aligned	DNA repair and proliferative programs reported in post-flight skin require nucleotide synthesis and turnover.	FLT_up aligns with repair/cell-cycle demand.	medium	Nucleotide metabolism fits DNA repair, replication, and stress-response needs in flight-exposed skin.	Cope2024;Park2024
21	R-MMU-111465_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	FLT_up	green_prior_aligned	Apoptosis-related pathways are enriched in post-flight skin and reviewed as relevant to microgravity wound repair.	FLT_up aligns with cell-death remodeling.	high	Apoptotic cleavage is a specific execution-arm process compatible with damaged-cell removal.	Park2024;Riwaldt2021
22	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	FLT_down	orange_uncertain_no_direct_support	Golgi-to-ER retrograde traffic is generic secretory biology with no direct skin-spaceflight directional support.	FLT_down direction uncertain.	low	A decrease may reflect protein-processing shifts, but COPI traffic is not a reported flight skin signature.	Cope2024;Radstake2022
23	R-MMU-9012999_RHO_GTPASE_CYCLE	FLT_up	blue_plausible_complementary	Cytoskeletal remodeling is plausible in microgravity and wound repair, but the RHO cycle direction is indirect.	FLT_up is plausible but indirect.	medium	RHO GTPase cycling can mediate cell shape, adhesion, and migration changes in stressed skin.	Riwaldt2021;Radstake2022
24	R-MMU-1640170_CELL_CYCLE	FLT_up	green_prior_aligned	Skin-spaceflight studies support DNA damage, regenerative stress, and hair-cycle remodeling.	FLT_up aligns with repair-associated cycling.	medium	Cell-cycle activation is compatible with epidermal renewal and anagen-associated follicle activity.	Cope2024;Neutelings2015
25	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	FLT_down	blue_plausible_complementary	Gap-junction remodeling is relevant to epidermal communication and barrier disruption, but direct direction evidence is limited.	FLT_down is plausible but indirect.	medium	Reduced gap-junction trafficking could accompany impaired intercellular communication during barrier stress.	Park2024;Piipponen2020
26	R-MMU-1632852_MACROAUTOPHAGY	FLT_up	blue_plausible_complementary	Spaceflight stress literature implicates proteostasis and autophagy, but skin-specific direction is weak.	FLT_up is plausible but indirect.	medium	Macroautophagy could complement oxidative stress, mitochondrial damage, and cell survival remodeling.	Cope2024;Afshinnekoo2020
27	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	FLT_up	red_conflict_or_artifact	Reported skin-spaceflight pathways do not support a visual phototransduction program.	FLT_up is likely off-context.	high	The term is eye/retina-centered and is not a credible skin HVG pathway despite possible low-level cutaneous opsin biology.	Cope2024;Radstake2022
28	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	FLT_up	orange_uncertain_no_direct_support	Post-translational modification is broadly stress-relevant but too nonspecific for directional support.	FLT_up direction uncertain.	low	The pathway could reflect many unrelated protein-processing mechanisms and lacks direct skin-spaceflight evidence.	Cope2024;Afshinnekoo2020
29	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	FLT_up	green_prior_aligned	STS-135 mouse skin and broader skin-spaceflight studies report ECM remodeling and matrix damage.	FLT_up aligns with matrix turnover.	high	ECM degradation is a close match to MMP-mediated remodeling and dermal matrix disruption after flight stress.	Mao2014;Cope2024;Pfisterer2021
30	R-MMU-1500931_CELL_CELL_COMMUNICATION	FLT_up	blue_plausible_complementary	Post-flight skin shows epithelial, immune, and fibroblast interactions, but this broad communication pathway lacks direct direction.	FLT_up is plausible but indirect.	medium	Cell-cell communication can capture keratinocyte-immune-fibroblast crosstalk during inflammation and repair.	Park2024;Piipponen2020
31	R-MMU-1638074_KERATAN_SULFATE_KERATIN_METABOLISM	FLT_down	blue_plausible_complementary	Glycosaminoglycan, keratin, and matrix turnover are plausible in skin remodeling, but direction is not directly resolved.	FLT_down is plausible but indirect.	medium	Lower keratan sulfate or keratin metabolism could fit barrier or matrix disruption without direct pathway evidence.	Mao2014;Pfisterer2021
32	R-MMU-428157_SPHINGOLIPID_METABOLISM	FLT_up	blue_plausible_complementary	Barrier disruption makes sphingolipid remodeling biologically plausible, but direct spaceflight direction is weak.	FLT_up is plausible but indirect.	medium	Sphingolipids are core barrier lipids and inflammatory mediators in epidermal stress.	Park2024;Radstake2022
33	R-MMU-948021_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	FLT_down	orange_uncertain_no_direct_support	Golgi transport and modification are generic secretory processes without direct skin-spaceflight direction evidence.	FLT_down direction uncertain.	low	The decrease may reflect altered protein-processing load but is not a reported flight skin pathway.	Cope2024;Radstake2022
34	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	FLT_up	blue_plausible_complementary	Suppression of PI3K/AKT can accompany stress and impaired repair, but direct skin-spaceflight evidence is limited.	FLT_up is plausible but indirect.	low	Negative PI3K/AKT regulation could fit delayed regeneration or stress signaling, yet pathway direction is not documented.	Park2024;Riwaldt2021
35	R-MMU-936837_ION_TRANSPORT_BY_P_TYPE_ATPASES	FLT_down	orange_uncertain_no_direct_support	Ion homeostasis is relevant to barrier and stress responses, but P-type ATPase decrease is not directly supported.	FLT_down direction uncertain.	low	Reduced P-type ATPase transport could reflect calcium or ion handling changes, but evidence is weak and nonspecific.	Radstake2022
36	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	FLT_down	blue_plausible_complementary	Microgravity and wound literature support cytoskeletal remodeling, including possible suppression of adhesion and mechanotransduction pathways.	FLT_down is plausible but indirect.	medium	Lower RHO signaling could fit unloading-related actin, adhesion, and migration changes in flight-stressed skin.	Riwaldt2021;Radstake2022
37	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	FLT_down	green_prior_aligned	Post-flight human skin reports epithelial barrier and junction disruption.	FLT_down aligns with barrier-disruption evidence.	high	Reduced cell-cell junction organization matches decreased barrier and tight-junction transcript patterns.	Park2024;Radstake2022;Zhao2025
38	R-MMU-913709_O_LINKED_GLYCOSYLATION_OF_MUCINS	FLT_down	blue_plausible_complementary	Mucin-type O-glycosylation can support epithelial barrier proteins, but direct spaceflight direction is absent.	FLT_down is plausible but indirect.	low	Lower mucin O-glycosylation could weaken secretory or epithelial barrier remodeling, without direct flight skin evidence.	Park2024;Radstake2022
39	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	FLT_down	blue_plausible_complementary	STS-135 mouse skin showed altered amino-acid metabolism, but transporter direction was not directly specified.	FLT_down is plausible but indirect.	medium	Reduced amino-acid SLC transport could reflect altered metabolic support for repair and matrix turnover.	Mao2014;Cope2024
40	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	FLT_down	red_conflict_or_artifact	Post-flight skin shows inflammatory and innate immune activation, with TLR pathways as plausible upstream mechanisms.	FLT_down conflicts with innate immune activation evidence.	medium	A decrease in TLR cascades is opposite to the expected microbial, barrier-stress, and inflammatory response direction.	Park2024;Piipponen2020
41	R-MMU-6805567_KERATINIZATION	FLT_up	red_conflict_or_artifact	Direct post-flight skin studies report barrier disruption and decreased key keratin/cornification markers.	FLT_up conflicts with prior direction.	high	A strong keratinization increase is opposite to reported loss of FLG and related barrier/keratin signatures.	Cope2024;Park2024
42	R-MMU-3928665_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	FLT_up	blue_plausible_complementary	Eph/ephrin signaling can guide epithelial and nerve remodeling, but direct spaceflight skin direction is weak.	FLT_up is plausible but indirect.	low	Cell repulsion and guidance could contribute to wound repair or innervation changes, without direct pathway evidence.	Riwaldt2021;Radstake2022
43	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	FLT_up	blue_plausible_complementary	SUMO E3 activity is stress and DNA-repair relevant, but skin-spaceflight direction is not directly reported.	FLT_up is plausible but indirect.	medium	SUMO ligases can support DNA damage response and chromatin regulation under radiation stress.	Cope2024;Afshinnekoo2020
44	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	FLT_up	green_prior_aligned	STS-135 mouse skin showed oxidative and metabolic remodeling consistent with xenobiotic/oxidation responses.	FLT_up aligns with detoxification stress.	medium	Phase I functionalization fits CYP-mediated handling of oxidative and chemical stress in flight-exposed skin.	Mao2014;Radstake2022
45	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	FLT_up	blue_plausible_complementary	Skin has neuroendocrine stress signaling, but peptide hormone metabolism direction in flight skin is indirect.	FLT_up is plausible but weakly supported.	medium	Peptide hormone metabolism could reflect local stress-hormone or repair signaling in the skin.	Radstake2022;Cope2024
46	R-MMU-9769740_COAGULATION_PATHWAY	FLT_up	blue_plausible_complementary	Wound-healing risk makes coagulation relevant, but direct flight skin direction is not established.	FLT_up is plausible but indirect.	medium	Coagulation can support hemostasis and inflammatory repair, yet no direct skin-spaceflight up-regulation is shown.	CuboMateo2021;Radstake2022;Balukoff2025
47	R-MMU-352230_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	FLT_up	blue_plausible_complementary	Mouse skin metabolomics showed amino-acid pathway changes, but transporter direction remains indirect.	FLT_up is plausible but indirect.	medium	Amino-acid transport can support proliferative and stress-metabolic needs after flight.	Mao2014;Cope2024
48	R-MMU-162582_SIGNAL_TRANSDUCTION	FLT_up	orange_uncertain_no_direct_support	Signal transduction is too broad to map to a specific prior skin-spaceflight direction.	FLT_up direction uncertain.	low	The pathway could absorb many unrelated receptor and kinase changes, so literature alignment is weak.	Cope2024;Park2024
49	R-MMU-9013406_RHOQ_GTPASE_CYCLE	FLT_up	blue_plausible_complementary	RHOQ is a cytoskeletal trafficking GTPase, but no direct skin-spaceflight evidence supports its direction.	FLT_up is plausible but weakly supported.	low	The pathway could complement motility and vesicle remodeling, with only indirect microgravity support.	Riwaldt2021;Radstake2022
50	R-MMU-6806834_SIGNALING_BY_MET	FLT_down	blue_plausible_complementary	MET/HGF signaling fits keratinocyte motility and wound repair, and lower activity is plausible under impaired repair.	FLT_down is plausible but indirect.	medium	Reduced MET signaling could mark weaker migration or epithelial repair in microgravity-related wound biology.	Riwaldt2021;Piipponen2020;Zhao2025
51	R-MMU-9006936_SIGNALING_BY_TGFB_FAMILY_MEMBERS	FLT_up	green_prior_aligned	Post-flight human skin reported TGF-beta pathway changes, and mouse skin studies support ECM remodeling.	FLT_up aligns with matrix/inflammatory remodeling.	medium	TGF-beta signaling is a close mediator of fibroblast, ECM, and wound-healing responses after stress.	Park2024;Mao2014;Pfisterer2021
52	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	FLT_down	red_conflict_or_artifact	Post-flight skin inflammation and innate immune activity support neutrophil effector activation.	FLT_down conflicts with inflammatory response evidence.	medium	Lower neutrophil degranulation is opposite to the expected innate inflammatory and antimicrobial stress signal.	Park2024;Piipponen2020
53	R-MMU-1483206_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	FLT_up	blue_plausible_complementary	Oxidative stress and barrier disruption make phospholipid remodeling plausible, but direct direction is weak.	FLT_up is plausible but indirect.	medium	Glycerophospholipid biosynthesis can support membrane repair and oxidized-lipid turnover in stressed skin.	Mao2014;Radstake2022
54	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	FLT_up	blue_plausible_complementary	Spaceflight is associated with gene-regulatory and DNA-damage responses, but chromatin-enzyme direction is not skin-specific.	FLT_up is plausible but indirect.	medium	Chromatin modifiers can mediate DNA repair, stress memory, and transcriptional adaptation in flight-exposed tissue.	Cope2024;Afshinnekoo2020
55	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	FLT_up	blue_plausible_complementary	Skin innervation and neuroimmune signaling are relevant to irritation, but postsynaptic receptor direction is indirect.	FLT_up is plausible but weakly supported.	low	Neurotransmitter receptor changes could reflect sensory or neuroendocrine remodeling in skin.	Radstake2022
56	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	FLT_up	blue_plausible_complementary	N-linked glycosylation is relevant to secreted and membrane proteins, but direct skin-spaceflight direction is weak.	FLT_up is plausible but indirect.	low	Increased N-glycosylation could accompany receptor, ECM, and barrier protein processing under stress.	Park2024;Radstake2022
57	R-MMU-112316_NEURONAL_SYSTEM	FLT_up	blue_plausible_complementary	Skin contains sensory nerves and neuroimmune circuits, but broad neuronal-system up-regulation is indirect.	FLT_up is plausible but weakly supported.	low	The signal may reflect cutaneous innervation or sensory stress rather than a direct spaceflight skin pathway.	Radstake2022
58	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	FLT_up	orange_uncertain_no_direct_support	Vesicle-mediated transport is generic and lacks direct post-flight skin directional support.	FLT_up direction uncertain.	low	The pathway could reflect many cell types or secretion processes without a clear literature anchor.	Cope2024;Radstake2022
59	R-MMU-422475_AXON_GUIDANCE	FLT_down	orange_uncertain_no_direct_support	Axon-guidance cues can participate in cutaneous nerve and repair biology, but direct flight direction is lacking.	FLT_down direction uncertain.	low	The decrease may reflect innervation or migration remodeling, but it is not a directly reported skin-spaceflight signature.	Radstake2022;Riwaldt2021
60	R-MMU-156590_GLUTATHIONE_CONJUGATION	FLT_down	blue_plausible_complementary	Space-flown skin shows oxidative stress and antioxidant-defense remodeling, but glutathione-conjugation decrease is not directly resolved.	FLT_down is plausible but mixed.	medium	Lower glutathione conjugation could indicate depleted detox capacity under ROS stress rather than an adaptive antioxidant increase.	Mao2014;Radstake2022
61	R-MMU-8875878_MET_PROMOTES_CELL_MOTILITY	FLT_up	blue_plausible_complementary	MET-driven motility fits keratinocyte wound migration, but direct skin-spaceflight direction is limited.	FLT_up is plausible but indirect.	medium	Cell motility signaling could complement barrier repair and microgravity-altered wound closure.	Riwaldt2021;Piipponen2020;Zhao2025
62	R-MMU-8957322_METABOLISM_OF_STEROIDS	FLT_up	blue_plausible_complementary	Spaceflight stress and cortisol affect skin, but steroid metabolism direction in tissue is indirect.	FLT_up is plausible but indirect.	medium	Steroid metabolism can shape local stress, inflammation, and barrier responses in skin.	Radstake2022
63	R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	FLT_down	orange_uncertain_no_direct_support	Golgi-to-ER traffic is a broad protein-processing pathway without direct flight skin direction evidence.	FLT_down direction uncertain.	low	The literature does not identify decreased intra-Golgi or retrograde traffic as a skin-spaceflight signature.	Cope2024;Radstake2022
64	R-MMU-202403_TCR_SIGNALING	FLT_up	green_prior_aligned	Post-flight skin reported T-cell migration/activity, and spaceflight reviews support adaptive immune dysregulation.	FLT_up aligns with immune activation/remodeling.	medium	TCR signaling is a close adaptive immune pathway for skin-resident or infiltrating T cells.	Park2024;Akiyama2020
65	R-MMU-193648_NRAGE_SIGNALS_DEATH_THROUGH_JNK	FLT_down	red_conflict_or_artifact	Post-flight skin enriched apoptosis and stress-response programs.	FLT_down conflicts with cell-death remodeling evidence.	medium	Reduced NRAGE-JNK death signaling is opposite to the broader apoptosis and damage-removal response expected after flight stress.	Park2024;Riwaldt2021
66	R-MMU-9006934_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	FLT_up	blue_plausible_complementary	Post-flight skin shows KRAS signaling, but broad RTK pathway direction is not directly resolved.	FLT_up is plausible but indirect.	medium	RTK signaling could feed MAPK/KRAS, growth, and repair pathways during skin stress.	Park2024;Piipponen2020
67	R-MMU-2672351_STIMULI_SENSING_CHANNELS	FLT_up	blue_plausible_complementary	Skin sensory irritation is a known spaceflight concern, but stimuli-sensing channel direction is indirect.	FLT_up is plausible but weakly supported.	low	Stimuli-sensing channels could reflect itch, pain, or environmental stress sensing in cutaneous nerves and keratinocytes.	Radstake2022;Cope2024
68	R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	FLT_down	blue_plausible_complementary	Gap-junction remodeling is plausible in wound repair and barrier disruption, but direct post-flight direction is not established.	FLT_down is plausible but indirect.	low	Lower regulated gap-junction trafficking could reflect impaired epidermal communication during barrier stress.	Park2024;Piipponen2020
69	R-MMU-917937_IRON_UPTAKE_AND_TRANSPORT	FLT_down	orange_uncertain_no_direct_support	Oxidative skin stress can involve iron and heme chemistry, but direct iron-transport direction is weak.	FLT_down direction uncertain.	low	Lower iron uptake and transport may alter ROS balance, but no direct flight skin evidence establishes this direction.	Mao2014;Radstake2022
70	R-MMU-9612973_AUTOPHAGY	FLT_down	blue_plausible_complementary	Autophagy is a plausible response to spaceflight stress and mitochondrial dysfunction, but skin direction is indirect.	FLT_down is plausible but mixed.	medium	Reduced autophagy could reflect impaired damaged-organelle clearance, although an adaptive increase would also be expected under stress.	Cope2024;Afshinnekoo2020
71	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	FLT_up	blue_plausible_complementary	Hedgehog signaling is relevant to hair follicle cycling, but direct flight-skin direction is limited.	FLT_up is plausible but indirect.	medium	Hair-cycle dysregulation after ISS flight makes Hedgehog activity biologically plausible.	Neutelings2015;Radstake2022
72	R-MMU-5617833_CILIUM_ASSEMBLY	FLT_up	orange_uncertain_no_direct_support	Cilium assembly can affect Hedgehog signaling, but direct skin-spaceflight evidence is absent.	FLT_up direction uncertain.	low	The pathway is plausible in hair-follicle biology, yet no literature supports a flight-induced increase.	Neutelings2015;Radstake2022
73	R-MMU-9711123_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	FLT_up	green_prior_aligned	Spaceflight skin literature supports oxidative, radiation, and environmental chemical stress responses.	FLT_up aligns with stress response.	high	Cellular chemical-stress response matches ROS, detoxification, and barrier injury mechanisms in flight skin.	Mao2014;Radstake2022
74	R-MMU-9006925_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	FLT_down	orange_uncertain_no_direct_support	Second-messenger signaling is too broad for a specific skin-spaceflight directional call.	FLT_down direction uncertain.	low	This aggregate pathway could reflect many unrelated receptor branches and lacks direct support.	Cope2024;Park2024
75	R-MMU-9709957_SENSORY_PERCEPTION	FLT_down	orange_uncertain_no_direct_support	Astronaut skin irritation and sensory symptoms make sensory biology relevant, but direct pathway direction is weak.	FLT_down direction uncertain.	low	Lower sensory-perception signaling could reflect cutaneous nerve remodeling, but the term is broad and not directly supported.	Radstake2022;Cope2024
76	R-MMU-9675108_NERVOUS_SYSTEM_DEVELOPMENT	FLT_down	orange_uncertain_no_direct_support	Cutaneous innervation and follicle biology make nervous-system development plausible, but not directly supported directionally.	FLT_down direction uncertain.	low	The pathway may reflect nerve or guidance remodeling rather than a core skin-spaceflight signature.	Radstake2022
77	R-MMU-9913351_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC	FLT_down	green_prior_aligned	ISS mouse skin directly reported cutaneous muscle remodeling and atrophy-related effects.	FLT_down aligns with unloading or cutaneous muscle structural weakening.	medium	Lower dystrophin-glycoprotein complex formation fits reduced muscle membrane and cytoskeletal integrity in panniculus carnosus-like tissue.	Neutelings2015
78	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	FLT_down	orange_uncertain_no_direct_support	Plasma lipoprotein assembly is not a specific reported skin-spaceflight pathway.	FLT_down direction uncertain.	low	Skin lipid handling is relevant, but this plasma-lipoprotein term is broad and partly off-context.	Radstake2022;Mao2014
79	R-MMU-4839726_CHROMATIN_ORGANIZATION	FLT_up	blue_plausible_complementary	DNA damage and gene-regulatory adaptation support chromatin reorganization, but direction is indirect.	FLT_up is plausible but indirect.	medium	Chromatin organization can accompany DNA repair and transcriptional remodeling in flight-exposed skin.	Cope2024;Afshinnekoo2020
80	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	FLT_down	orange_uncertain_no_direct_support	Hair-cycle and repair biology support developmental remodeling, but this broad pathway has mixed expected directions.	FLT_down direction uncertain.	low	Reduced developmental biology could imply impaired regeneration, yet the aggregate term combines Wnt, Hedgehog, ECM, and unrelated developmental programs.	Neutelings2015;Park2024
81	R-MMU-195721_SIGNALING_BY_WNT	FLT_up	blue_plausible_complementary	Wnt signaling is central to hair follicle cycling and epidermal repair, but flight direction is not directly resolved.	FLT_up is plausible but indirect.	medium	Spaceflight hair-cycle changes make Wnt activation plausible as a complementary repair/development signal.	Neutelings2015;Piipponen2020
82	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	FLT_down	green_prior_aligned	Flight skin literature supports ECM remodeling and impaired matrix or adhesion interactions.	FLT_down aligns with matrix-interaction disruption.	medium	Reduced non-integrin membrane-ECM interactions fit altered fibroblast-epidermal crosstalk and matrix attachment during dermal remodeling.	Mao2014;Pfisterer2021;Zhao2025
83	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	FLT_down	blue_plausible_complementary	PI3K/AKT participates in keratinocyte growth and repair, but direct flight skin direction is limited.	FLT_down is plausible but indirect.	medium	Reduced PIP3-AKT activation could fit impaired survival or wound-repair signaling under microgravity stress.	Riwaldt2021;Piipponen2020;Balukoff2025
84	R-MMU-70326_GLUCOSE_METABOLISM	FLT_up	blue_plausible_complementary	STS-135 skin metabolomics reported carbohydrate metabolism changes, but not a clear glucose-pathway direction.	FLT_up is plausible but indirect.	medium	Glucose metabolism can support repair, proliferation, and redox demands in stressed skin.	Mao2014;Cope2024
85	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	FLT_down	red_conflict_or_artifact	Post-flight skin inflammation supports phagocytic immune effector activity.	FLT_down conflicts with immune activation evidence.	medium	Lower Fc-gamma receptor phagocytosis is opposite to the innate immune remodeling expected in inflamed or barrier-stressed skin.	Park2024;Piipponen2020
